     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         2       120         1        0.14536000        0.13455036               0.00000000              19.18811777
         2       121         8       -0.26636400       -0.22643415               0.00000000             -55.62341245
         2       122         1        0.12340700        0.12969825               0.00000000              19.18739709
         2       123         1        0.14260400        0.12445211               0.00000000              19.18858326
         2       124         8       -0.26234000       -0.28563787               0.00000000             -55.62547565
         2       125         1        0.14747400        0.12322506               0.00000000              19.18873674
         2       126         1        0.14491300        0.13866471               0.00000000              19.18978684
         2       127         8       -0.26650500       -0.26857641               0.00000000             -55.62485469
         2       128         1        0.14403000        0.14429220               0.00000000              19.19043611
         2       129         1        0.14025500        0.14397841               0.00000000              19.18966293
         2       130         8       -0.30892700       -0.28614615               0.00000000             -55.62585754
         2       131         1        0.13075800        0.13094737               0.00000000              19.18998891
         2       132         1        0.13275900        0.14658601               0.00000000              19.18990985
         2       133         8       -0.31091100       -0.30118042               0.00000000             -55.62455900
         2       134         1        0.12846100        0.13006340               0.00000000              19.18673156
         2       135         1        0.11410900        0.11454577               0.00000000              19.19088671
         2       136         8       -0.27496700       -0.27189374               0.00000000             -55.62568558
         2       137         1        0.13753100        0.12588096               0.00000000              19.18937750
         2       138         1        0.15476500        0.16002560               0.00000000              19.18996037
         2       139         8       -0.24052800       -0.24099047               0.00000000             -55.62557645
         2       140         1        0.15663800        0.15006115               0.00000000              19.18995102
         2       141         1        0.14473700        0.13836893               0.00000000              19.18818082
         2       142         8       -0.28000800       -0.27606886               0.00000000             -55.62599102
         2       143         1        0.14697200        0.14169308               0.00000000              19.18935178
         2       144         1        0.13885600        0.16098279               0.00000000              19.18989275
         2       145         8       -0.27180800       -0.28363411               0.00000000             -55.62610676
         2       146         1        0.15530700        0.15476454               0.00000000              19.18916885
         2       147         1        0.14646300        0.13663588               0.00000000              19.18897678
         2       148         8       -0.30683700       -0.30602215               0.00000000             -55.62431935
         2       149         1        0.12574800        0.13342747               0.00000000              19.18713362
         2       150         1        0.12624400        0.13283008               0.00000000              19.18909240
         2       151         8       -0.32003900       -0.30443842               0.00000000             -55.62409909
         2       152         1        0.12580500        0.12674944               0.00000000              19.18933471
         2       153         1        0.12109400        0.13796478               0.00000000              19.18922512
         2       154         8       -0.29000900       -0.30278241               0.00000000             -55.62503840
         2       155         1        0.14818800        0.16280201               0.00000000              19.18973549
         2       156         1        0.12929500        0.12088750               0.00000000              19.18857653
         2       157         8       -0.23353700       -0.23241864               0.00000000             -55.62428650
         2       158         1        0.14489700        0.14960183               0.00000000              19.18852812
         2       159         1        0.14996300        0.14501952               0.00000000              19.18834808
         2       160         8       -0.29603500       -0.29462744               0.00000000             -55.62663024
         2       161         1        0.13793200        0.15028056               0.00000000              19.18928819
         2       162         1        0.12884000        0.13199488               0.00000000              19.18964965
         2       163         8       -0.28646700       -0.29510892               0.00000000             -55.62522459
         2       164         1        0.13107200        0.12832481               0.00000000              19.18848197
         2       165         1        0.13358900        0.12850599               0.00000000              19.18910355
         2       166         8       -0.33464200       -0.32053030               0.00000000             -55.62503880
         2       167         1        0.11541600        0.12793581               0.00000000              19.19020582
         2       168         1        0.11822400        0.12339248               0.00000000              19.18795432
         2       169         8       -0.31047800       -0.29943650               0.00000000             -55.62491644
         2       170         1        0.14398100        0.16150643               0.00000000              19.19032273
         2       171         1        0.12371900        0.12475154               0.00000000              19.18788638
         2       172         8       -0.29885800       -0.30616672               0.00000000             -55.62412975
         2       173         1        0.13356300        0.13756697               0.00000000              19.18794586
         2       174         1        0.12053600        0.12152701               0.00000000              19.18938752
         2       175         8       -0.24492200       -0.23998941               0.00000000             -55.62689813
         2       176         1        0.15956600        0.15741493               0.00000000              19.19104770
         2       177         1        0.15860000        0.16239243               0.00000000              19.18985641
