     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1       145               0.03377600              -0.00479800               0.00562500               0.01294102               0.00249969              -0.00296970
         1       146              -0.01651000              -0.00693600               0.00683800              -0.00701669              -0.00562529               0.00750349
         1       147              -0.01326100               0.00890800              -0.01049400              -0.00459912               0.00283377              -0.00218447
         1       148               0.00151400              -0.00628400              -0.01801200              -0.01883587              -0.00208014              -0.01082250
         1       149               0.00491500               0.00261500               0.02019600               0.01143098               0.00343493               0.01459979
         1       150              -0.00794600              -0.00546600              -0.00625000               0.00117719              -0.00358351              -0.00904676
         1       151              -0.01858000               0.02541200               0.00017200              -0.00214868              -0.00019614               0.00673181
         1       152               0.00061600              -0.00936200               0.00541800              -0.00103894              -0.00243807               0.00166285
         1       153               0.02425600              -0.02502700              -0.00153400               0.00760357              -0.00644058              -0.00130472
         1       154               0.00579600               0.01878000              -0.02994000               0.00790411               0.01266655              -0.01069573
         1       155               0.00562200              -0.00905600               0.02534800              -0.00009510              -0.00932837               0.01119764
         1       156              -0.01288300              -0.01771800               0.00521400              -0.00856456              -0.01032528               0.00227240
         1       157              -0.01247300               0.02761400               0.01563600               0.00064135               0.01452997               0.00893487
         1       158               0.01405600               0.00218500              -0.00749000               0.00577493              -0.00447669              -0.00678315
         1       159              -0.00338200              -0.02002000              -0.00106900              -0.00678232              -0.00927784               0.00312409
         1       160               0.01306200               0.00111000              -0.02094200               0.02081089               0.00185016              -0.01792222
         1       161              -0.01597600              -0.00785200              -0.00473700              -0.02270478              -0.01452925              -0.01010347
         1       162               0.00144900               0.00549000               0.01959100               0.00223232               0.00721399               0.02398022
         1       163              -0.03680000              -0.05272500              -0.02252600              -0.01533841              -0.02375091              -0.00199982
         1       164               0.01696400               0.02436000              -0.00670100               0.00973203               0.00876477              -0.00818778
         1       165               0.01949200               0.02340800               0.02742000               0.00371982               0.00891012               0.01060566
         1       166              -0.01022500              -0.00004300              -0.02582600              -0.00527242              -0.00187914              -0.00564988
         1       167               0.00148000              -0.00325000               0.01186300               0.00133693              -0.00179122              -0.00054047
         1       168               0.01186000               0.00459500               0.01340700               0.00879146               0.00672221               0.00187557
         1       169              -0.00875900              -0.01135800               0.00267700              -0.00157534              -0.01499307               0.00543165
         1       170              -0.00318500               0.00269900               0.00100600              -0.01300203               0.00757283               0.00055293
         1       171               0.00951800               0.00699200              -0.00767900               0.01475536               0.00670882              -0.00908362
         1       172              -0.05737400               0.01783500               0.05861400              -0.03162893               0.00101626               0.01236449
         1       173               0.02117800               0.00157700              -0.00689200               0.00490591               0.00214444               0.00277637
         1       174               0.02828800              -0.01632700              -0.04857600               0.02245957              -0.00060883              -0.01723746
         1       175               0.01171900               0.00800000               0.00430200              -0.00204669              -0.00114421              -0.00323646
         1       176              -0.00885100              -0.01217400              -0.01241500               0.00119142               0.00215867              -0.00009275
         1       177              -0.00348300               0.00405600               0.00142900              -0.00189399              -0.00508991               0.00043305
         1       178               0.03873700               0.01222500              -0.03066600               0.01441076               0.01058252              -0.01059347
         1       179              -0.02215200              -0.02218500               0.01983000              -0.01409519              -0.01559314               0.00955775
         1       180              -0.01272300               0.01225300               0.01468700              -0.00216940               0.00182861               0.00086016
         1       181              -0.02757300              -0.00714200              -0.00136100              -0.01705479              -0.01320707               0.00920613
